#{"t_start": 1718614481.2553282, "env_id": "None"}
r,l,t
-286.643582,500,2.963986
-237.12204,500,5.48014
-403.560224,500,8.213287
-293.308936,500,10.907514
-217.394172,500,13.816241
-360.568756,500,16.680712
-258.703074,500,19.426353
-423.711312,500,21.937667
-223.249624,500,24.547047
-343.108438,500,27.488018
-358.806901,500,30.99818
-331.899101,500,33.979537
-252.117459,500,37.547517
-301.671242,500,40.434663
58.08767,132,41.384937
-219.774184,500,44.74046
-230.872897,500,47.419591
-216.837088,500,50.214087
-422.510557,500,53.476815
-429.606462,500,56.51261
67.992976,88,57.300456
-258.226953,500,60.411573
81.942173,40,60.872558
-363.853947,500,63.786189
-254.812317,500,66.573288
-161.73695,500,69.00738
-206.660093,500,71.519755
-247.927393,500,74.034125
-368.195988,500,77.019675
-373.25146,500,79.888423
-262.966346,500,82.363931
-288.938436,500,85.176466
78.51219,65,85.738902
-282.909579,500,88.619623
-230.518626,500,91.441601
-315.620874,500,94.672776
-269.089475,500,97.465027
-187.302969,500,100.322602
-258.183443,500,103.14596
-308.703642,500,106.213444
-179.198867,500,109.167125
-219.339018,500,112.101807
-321.333575,500,114.844559
-158.806241,500,117.620239
-251.785879,500,120.634298
-269.739151,500,124.042127
-194.618005,500,126.826679
91.674755,34,127.24831
99.627677,3,127.547209
-228.617307,500,130.608829
-320.769631,500,133.705142
-208.520012,500,136.660573
-180.228152,500,139.521891
-230.798601,500,142.370499
-170.553836,500,145.357935
-225.155893,500,148.207464
-415.513957,500,151.314459
-152.888113,500,154.400376
-260.237205,500,157.463363
-209.918776,500,160.512356
41.276855,154,161.647818
-230.928388,500,164.854874
-178.88229,500,167.796667
-236.604145,500,170.610802
-40.201917,444,173.101917
-276.627828,500,175.815999
-254.199185,500,178.656464
-411.115156,500,181.761145
-242.269134,500,184.705137
-147.072727,500,187.35666
-162.542368,500,190.391128
-351.511865,500,193.41628
-409.002784,500,195.956314
-246.576221,500,198.891747
-290.314122,500,201.933344
-176.359444,500,204.657591
66.898038,164,205.687927
-244.5574,500,208.396632
-179.35582,500,211.521934
-227.81926,500,214.291368
-329.877088,500,217.033393
-239.470943,500,219.934909
-383.468642,500,222.916416
-343.952615,500,225.773945
-333.819555,500,228.403126
-473.226542,500,231.666421
-46.178111,295,233.507747
-329.759758,500,236.397589
-143.487664,500,239.051831
-124.911529,500,241.92148
-368.10523,500,244.714063
-357.244966,500,247.600829
-299.984823,500,250.597385
99.757262,2,250.83347
-216.14635,500,254.237383
-125.158355,500,257.182122
-191.850557,500,259.946453
-145.974225,500,262.779162
1.191839,285,264.681032
-362.6258,500,267.846474
-292.738134,500,271.288189
-310.233008,500,274.351413
-207.980177,500,277.483244
-167.090974,500,280.334588
94.904692,13,280.648283
-319.954534,500,283.754368
66.042418,135,284.674656
-282.094423,500,287.276731
-154.751183,500,290.328442
99.882138,2,290.579499
-198.749059,500,293.342357
-439.606524,500,296.137293
-388.393604,500,299.240554
-254.519978,500,302.195791
-228.32642,500,305.047651
-300.781641,500,307.585771
19.625,209,308.74747
-325.494333,500,311.371941
-398.774424,500,314.052807
-69.330292,459,316.496905
-228.147843,500,319.20568
94.690817,13,319.550301
-161.307626,500,322.466549
-286.043559,500,325.184353
-245.409937,500,328.129301
83.377524,51,328.639258
-273.990046,500,331.5124
-183.113122,500,334.121708
-233.55823,500,337.019176
